SourceTimeStamp,AVG_SPEED,JOB_DONE,claw_ccw,claw_cw,claw_pos,claw_pos_AI,claw_sp_pos,disturbance_pos_end,disturbance_pos_ini,disturbance_value,err,home,x_bwd,x_disturbance,x_done,x_filt_speed,x_fwd,x_pos,x_pos_AI,x_sp_pos,x_speed,y_bwd,y_disturbance,y_done,y_filt_speed,y_fwd,y_pos,y_pos_AI,y_sp_pos,y_speed,z_disturbance,z_done,z_dwn,z_filt_speed,z_pos,z_pos_AI,z_sp_pos,z_speed,z_up,client_id,has_fault
2025-12-14 14:58:12.767000+00:00,,,,,,0.0,0.0,10.0,0.0,1000.0,,0.0,,,,,,,14432.0,5.0,,,,,,,,15261.0,5.0,,,,,,,14681.0,5.0,,,A,0
2025-12-14 14:58:12.769000+00:00,-2.18633,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,1000.0,1.0,0.03703,0.0,5.21991,,,0.0,1.0,1000.0,0.0,-1.54898,0.0,5.51975,,,-3.00202,1000.0,0.0,1.0,-2.18633,5.30997,,,-4.09795,0.0,A,0
2025-12-14 14:58:13.070000+00:00,-2.57114,,,,,,,,,,,,,,,0.00926,,,,,,0.0,,,-1.88826,,5.07993,14045.0,,-1.39974,,,0.0,-2.57114,4.77973,13215.0,,-2.10142,,A,0
2025-12-14 14:58:13.368000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,13796.0,,,,,,,,,,,,A,0
2025-12-14 14:58:13.370000+00:00,-0.88427,,,,,,,,,,,,,,,0.00116,,,,,,,,,-1.23565,,4.98987,,,0.0,,1.0,,-0.88427,,,,0.0,,A,0
2025-12-14 14:58:13.669000+00:00,-0.11053,,,,,,,,,,,,1.0,,0.0,0.00014,,,,0.0,,1.0,,,-0.15446,,,,0.0,,,0.0,1.0,-0.11053,,,0.0,,,A,0
2025-12-14 14:58:13.970000+00:00,-0.17774,,,,,,,,,,,,,,,-0.54973,,4.5298,12524.0,,-5.8015,,,,-0.33882,,4.60974,12745.0,,-3.20096,,,,-0.17774,4.29977,11888.0,,-4.49942,,A,0
2025-12-14 14:58:14.270000+00:00,-2.10917,,,,,,,,,,,,,,,-2.76873,,3.72975,10312.0,,-2.70182,,,,-1.56733,,4.15979,11501.0,,-1.50102,,,,-2.10917,3.67983,10174.0,,-2.10142,,A,0
2025-12-14 14:58:14.568000+00:00,,,,,,,,,,,,,,,,,,,7962.0,,,,,,,,,10202.0,,,,,,,,8349.0,,,,A,0
2025-12-14 14:58:14.570000+00:00,-2.07707,,,,,,,,,,,,,,,-2.65865,,2.87977,,,-3.20095,,,,-1.45867,,3.68996,,,-1.7976,,,,-2.07707,3.01975,,,-2.49928,,A,0
2025-12-14 14:58:14.871000+00:00,-2.14416,,,,,,,,,,,,,,,-2.814,,2.07972,5750.0,,-2.60055,,,,-1.56457,,3.24978,8985.0,,-1.50101,,,,-2.14416,2.40994,6663.0,,-2.0978,,A,0
2025-12-14 14:58:15.168000+00:00,,,,,,,,,,,,,,,,,,,3538.0,,,,,,,,,7741.0,,,,,,,,4948.0,,,,A,0
2025-12-14 14:58:15.170000+00:00,-3.08106,,,,,,,,,,,,,,,-4.00165,,1.27966,,,-2.70182,,,,-2.23234,,2.79984,,,-1.50101,,,,-3.08106,1.78964,,,-2.10142,,A,0
2025-12-14 14:58:15.470000+00:00,,,,,,,,,,,,,,,,,,,1188.0,,,,,,,,,6441.0,,,,,,,,3124.0,,,,A,0
2025-12-14 14:58:15.472000+00:00,-2.19765,,,,,,,,,,,,,,,-2.83808,,0.42969,,,-3.20095,,,,-1.54179,,2.32964,,,-1.80122,,,,-2.19765,1.12992,,,-2.49928,,A,0
2025-12-14 14:58:15.768000+00:00,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,5225.0,,,,,,,,1437.0,,,,A,0
2025-12-14 14:58:15.770000+00:00,-2.1743,,,,,,,,,,,,0.0,0.0,,-2.80822,,0.0,,,-1.69994,,,,-1.58445,,1.88983,,,-1.50101,,,,-2.1743,0.51975,,,-2.10142,,A,0
2025-12-14 14:58:16.069000+00:00,-2.0834,,,,,,,,,,,,,,1.0,-0.56352,,,,,0.0,,,,-1.48612,,1.43989,3981.0,,-1.4974,0.0,,0.0,-2.0834,0.0,0.0,,-2.00014,,A,0
2025-12-14 14:58:16.368000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,2681.0,,,,,,,,,,,,A,0
2025-12-14 14:58:16.370000+00:00,-0.78533,,,,,,,,,,,,,,,-0.07044,,,,,,,,,-1.92369,,0.96969,,,-1.50101,,,,-0.78533,,,,0.0,,A,0
2025-12-14 14:58:16.667000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465.0,,,,,,,,,,,,A,0
2025-12-14 14:58:16.672000+00:00,-0.19633,,,,,,,,,,,,,,,-0.01761,,,,,,,,,-1.60487,,0.52988,,,,,1.0,,-0.19633,,,,,,A,0
2025-12-14 14:58:16.970000+00:00,-0.02454,,,,,,,,,,,,,,,-0.0022,,,,,,0.0,,,-1.48868,,0.04991,138.0,,-1.80122,,,,-0.02454,,,,,,A,0
2025-12-14 14:58:17.269000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,A,0
2025-12-14 14:58:17.271000+00:00,-0.00307,,,,,,,,,,,,,,,-0.00028,,,,,,,0.0,,-1.03515,,0.0,,,-0.49913,,,,-0.00307,,,,,,A,0
2025-12-14 14:58:17.569000+00:00,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,9.0,,,,,,,,10.0,,,A,0
2025-12-14 14:58:17.571000+00:00,-0.00077,,,,,,,,,,,,,,0.0,-7e-05,1.0,,,,,,,,-0.25879,1.0,,,,0.0,,0.0,,-0.00077,,,,,1.0,A,0
2025-12-14 14:58:17.868000+00:00,,,,,,,,,,,,,,,,,,,1797.0,,,,,,,,,995.0,,,,,,,,1188.0,,,,A,0
2025-12-14 14:58:17.872000+00:00,1.09854,,,,,,,,,,,,,1000.0,,1.62398,,0.64996,,,2.70182,,1000.0,,0.86736,,0.35988,,,1.50101,1000.0,,,1.09854,0.42969,,,2.00014,,A,0
2025-12-14 14:58:18.168000+00:00,,,,,,,,,,,,,,,,,,,4147.0,,,,,,,,,2294.0,,,,,,,,3013.0,,,,A,0
2025-12-14 14:58:18.170000+00:00,2.02612,,,,,,,,,,,,,,,2.68012,,1.49993,,,2.60055,,,,1.44206,,0.82972,,,1.50101,,,,2.02612,1.08977,,,,,A,0
2025-12-14 14:58:18.470000+00:00,2.07844,,,,,,,,,,,,,,,2.63581,,2.3499,6497.0,,5.89916,,,,1.49274,,1.29991,3594.0,,3.20095,,,,2.07844,1.74986,4838.0,,4.49942,,A,0
2025-12-14 14:58:18.771000+00:00,2.37117,,,,,,,,,,,,,,,3.06611,,3.14996,8709.0,,2.70182,,,,1.71157,,1.73973,4810.0,,1.39974,,,,2.37117,2.35966,6524.0,,2.00014,,A,0
2025-12-14 14:58:19.068000+00:00,,,,,,,,,,,,,,,,,,,11059.0,,,,,,,,,6137.0,,,,,,,,8349.0,,,,A,0
2025-12-14 14:58:19.070000+00:00,2.14354,,,,,,,,,,,,,,,2.74045,,3.99993,,,2.70182,,,,1.52833,,2.21969,,,1.50101,,,,2.14354,3.01975,,,,,A,0
2025-12-14 14:58:19.368000+00:00,,,,,,,,,,,,,,,,,,,13243.0,,,,,,,,,7354.0,,,,,,,,10063.0,,,,A,0
2025-12-14 14:58:19.372000+00:00,2.19349,,,,,,,,,,,,,,,2.7808,,4.78986,,,2.69821,,,,1.57857,,2.65987,,,1.39974,,,,2.19349,3.63968,,,,,A,0
2025-12-14 14:58:19.668000+00:00,,,,,,,,,,,,,,,,,,,15621.0,,,,,,,,,8653.0,,,,,,,,11860.0,,,,A,0
2025-12-14 14:58:19.673000+00:00,3.30017,,,,,,,,,,,,,,,4.28459,,5.64996,,,2.70183,,,,2.39685,,3.1297,,,1.39974,,,,3.30017,4.28964,,,1.99653,,A,0
2025-12-14 14:58:19.970000+00:00,2.37489,,,,,,,,,,,,,,,3.04507,,6.43989,17805.0,,2.70182,,,,1.69965,,3.57964,9897.0,,1.50101,,,,2.37489,4.90994,13575.0,,2.10142,,A,0
2025-12-14 14:58:20.268000+00:00,,,,,,,,,,,,,,,,,,,19436.0,,,,,,,,,10782.0,,,,,,,,14819.0,,,,A,0
2025-12-14 14:58:20.271000+00:00,2.10847,,,,,,,,,,,,,,,2.7176,,7.0298,,,3.20096,,,,1.52494,,3.89974,,,1.69994,,,,2.10847,5.35988,,,2.40162,,A,0
2025-12-14 14:58:20.568000+00:00,,,,,,,,,,,,,,,,,,,21648.0,,,,,,,,,12026.0,,,,,,,,16533.0,,,,A,0
2025-12-14 14:58:20.571000+00:00,2.08828,,,,,,,,,,,,,,,2.73906,0.0,7.82986,,,2.69821,,,,1.52887,,4.34968,,,1.50101,,,,2.08828,5.97982,,,2.00015,,A,0
2025-12-14 14:58:20.870000+00:00,3.09821,,,,,,,,,,,,,,,3.45983,,8.24978,22809.0,,0.0,,,,2.20694,,4.81988,13326.0,,1.80122,,,,3.09821,6.6399,18358.0,,2.49928,,A,0
2025-12-14 14:58:21.169000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,14542.0,,,,,,,,20044.0,,,,A,0
2025-12-14 14:58:21.171000+00:00,2.24862,,,,,,,,,,,,,,1.0,0.43248,,,,,,,,,1.62497,,5.25969,,,1.39974,,,,2.24862,7.24971,,,2.00015,,A,0
2025-12-14 14:58:21.469000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,15787.0,,,,,,,,21758.0,,,,A,0
2025-12-14 14:58:21.472000+00:00,2.05652,,,,,,,,,,,,,,,0.05406,,,,,,,,,1.50385,,5.71,,,1.50101,,,,2.05652,7.86965,,,,,A,0
2025-12-14 14:58:21.767000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,17086.0,,,,,,,,23583.0,,,,A,0
2025-12-14 14:58:21.769000+00:00,2.23939,,,,,,,,,,,,,,,0.01352,,,,,,,,,1.60119,,6.17983,,,1.4974,,,,2.23939,8.52973,,,2.10142,,A,0
2025-12-14 14:58:22.070000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,18302.0,,,,,,,,25270.0,,,,A,0
2025-12-14 14:58:22.072000+00:00,2.6178,,,,,,,,,,,,,,,0.00169,,,,,,,,,1.88653,,6.61965,,,1.39974,,,,2.6178,9.1399,,,2.00014,,A,0
2025-12-14 14:58:22.370000+00:00,2.00446,,,,,,,,,,,,,,,0.00042,,,,,,,,,1.42197,,7.09997,19630.0,,2.10142,,,,2.00446,9.79998,27095.0,,2.79948,0.0,A,0
2025-12-14 14:58:22.670000+00:00,2.12592,,,,,,,,,,,,,,,5e-05,,,,,,,,,1.51555,,7.53979,20846.0,,1.4974,0.0,,,2.12592,10.0,27648.0,,0.0,,A,0
2025-12-14 14:58:22.970000+00:00,0.26574,,,,,,,,,,,,,,,1e-05,,,,,,,,,1.50238,,8.00998,22146.0,,3.20095,,1.0,,0.26574,,,,,,A,0
2025-12-14 14:58:23.269000+00:00,0.06643,,,,,,,,,,,,,,,0.0,,,,,,,,,1.92453,,8.45992,23390.0,,1.50101,,,,0.06643,,,,,,A,0
2025-12-14 14:58:23.570000+00:00,0.0083,,,,,,,,,,,,,,,0.0,,,,,,,,,1.50331,0.0,8.89974,24606.0,,1.50102,,,,0.0083,,,,,,A,0
2025-12-14 14:58:23.871000+00:00,0.00104,,,,,,,,,,,,,,,0.0,,,,,,,,,1.05009,,8.95978,24772.0,,0.0,,,,0.00104,,,,,,A,0
2025-12-14 14:58:24.169000+00:00,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,,5.0,,,A,0
2025-12-14 14:58:24.173000+00:00,0.00026,,,,,,,,,,,,1.0,,0.0,0.0,,,,,,1.0,,,0.26252,,,,,,,0.0,1.0,0.00026,,,,,,A,0
2025-12-14 14:58:24.468000+00:00,,,,,,,,,,,,,,,,,,,20901.0,,,,,,,,,23694.0,,,,,,,,26403.0,,,,A,0
2025-12-14 14:58:24.470000+00:00,-1.12573,,,,,,,,,,,,,,,-1.69994,,7.55968,,,-2.70183,,,,-0.94104,,8.56988,,,-1.50101,1000.0,,,-1.12573,9.5497,,,-2.10142,,A,0
2025-12-14 14:58:24.768000+00:00,,,,,,,,,,,,,,,,,,,18551.0,,,,,,,,,22394.0,,,,,,,,24606.0,,,,A,0
2025-12-14 14:58:24.770000+00:00,-2.15307,,,,,,,,,,,,,,,-2.82525,,6.70971,,,-2.60055,,,,-1.5558,,8.09968,,,,,,,-2.15307,8.89974,,,-2.00015,,A,0
2025-12-14 14:58:25.069000+00:00,,,,,,,,,,,,,,,,,,,16339.0,,,,,,,,,21178.0,,,,,,,,22892.0,,,,A,0
2025-12-14 14:58:25.071000+00:00,-2.0872,,,,,,,,,,,,,,,-2.70555,,5.90965,,,,,,,-1.5129,,7.65987,,,-1.39974,,,,-2.0872,8.2798,,,,,A,0
2025-12-14 14:58:25.369000+00:00,,,,,,,,,,,,,,,,,,,13989.0,,,,,,,,,19851.0,,,,,,,,21067.0,,,,A,0
2025-12-14 14:58:25.371000+00:00,-3.28598,,,,,,,,,,,,0.0,,,-4.23766,,5.05968,,,-2.70183,,,,-2.39045,,7.1799,,,-1.4974,,,,-3.28598,7.61972,,,-2.10142,,A,0
2025-12-14 14:58:25.670000+00:00,-2.22236,,,,,,,,,,,,,,,-2.04293,1.0,4.68967,12966.0,,0.0,,,,-1.58642,,6.73973,18634.0,,-1.50101,,,,-2.22236,7.00991,19381.0,,-2.00015,,A,0
2025-12-14 14:58:25.971000+00:00,-2.10634,,,,,,,,,,,,,,,-0.00979,0.0,5.21991,14432.0,,2.6982,,,,-1.52056,,6.26989,17335.0,,-1.40336,,,,-2.10634,6.34983,17556.0,,,,A,0
2025-12-14 14:58:26.269000+00:00,-2.18884,,,,,,,,,,,,,,1.0,0.73662,,,,,0.0,,,,-1.56539,,5.81995,16091.0,,-1.50101,,,,-2.18884,5.72989,15842.0,,,,A,0
2025-12-14 14:58:26.570000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,14874.0,,,,,,,,14155.0,,,,A,0
2025-12-14 14:58:26.572000+00:00,-2.59882,,,,,,,,,,,,,,,0.09208,,,,,,,,,-1.85809,,5.37977,,,,,,0.0,-2.59882,5.11972,,,,,A,0
2025-12-14 14:58:26.870000+00:00,-2.19864,,,,,,,,,,,,,,,0.02302,,,,,,0.0,,,-1.59028,,5.0,13824.0,,-1.69994,,,,-2.19864,4.78986,13243.0,,-1.20081,,A,0
2025-12-14 14:58:27.168000+00:00,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,A,0
2025-12-14 14:58:27.171000+00:00,-0.42493,,,,,,,,,,,,1.0,,0.0,0.00288,,,,,,1.0,,,-0.56047,,,,,0.0,,,1.0,-0.42493,,,,0.0,,A,0
2025-12-14 14:58:27.468000+00:00,,,,,,,,,,,,,,,,,,,13989.0,,,,,,,,,13575.0,,,,,,,,13049.0,,,,A,0
2025-12-14 14:58:27.471000+00:00,-0.05312,,,,,,,,,,,,,,,0.00036,,5.05968,,,,,,,-0.07006,,4.90994,,,,,,,-0.05312,4.71969,,,,,A,0
2025-12-14 14:58:27.769000+00:00,,,,,,,,,,,,,,,,,,,11778.0,,,,,,,,,12331.0,,,,,,,,11335.0,,,,A,0
2025-12-14 14:58:27.773000+00:00,-1.71322,,,,,,,,,,,,,,,-2.37531,,4.25998,,,-2.69821,,,,-1.36843,,4.46,,,-1.49739,,,,-1.71322,4.09975,,,-2.10142,,A,0
2025-12-14 14:58:28.068000+00:00,,,,,,,,,,,,,,,,,,,9427.0,,,,,,,,,11031.0,,,,,,,,9510.0,,,,A,0
2025-12-14 14:58:28.070000+00:00,-2.02577,,,,,,,,,,,,,,,-2.63524,,3.40965,,,-3.20096,,,,-1.45777,,3.9898,,,-1.80122,,,,-2.02577,3.43967,,,-2.50289,,A,0
2025-12-14 14:58:28.371000+00:00,-2.13224,,,,,,,,,,,,,,,-2.75752,,2.60995,7216.0,,-2.70182,,,,-1.56525,,3.54999,9815.0,,-1.39974,,,,-2.13224,2.82986,7824.0,,-2.0978,,A,0
2025-12-14 14:58:28.668000+00:00,,,,,,,,,,,,,,,,,,,4866.0,,,,,,,,,8515.0,,,,,,,,5999.0,,,,A,0
2025-12-14 14:58:28.670000+00:00,-2.0795,,,,,,,,,,,,,,,-2.65724,,1.75998,,,-5.89916,,,,-1.49548,,3.07979,,,-3.20096,,,,-2.0795,2.16978,,,-4.49942,,A,0
2025-12-14 14:58:28.968000+00:00,,,,,,,,,,,,,,,,,,,2681.0,,,,,,,,,7271.0,,,,,,,,4285.0,,,,A,0
2025-12-14 14:58:28.972000+00:00,-2.34689,,,,,,,,,,,,,,,-3.0706,,0.96969,,,-2.60055,,,,-1.71101,,2.62985,,,-1.50101,,,,-2.34689,1.54984,,,-2.10142,,A,0
2025-12-14 14:58:29.271000+00:00,-2.11215,,,,,,,,,,,,0.0,,,-2.76689,,0.10995,304.0,,-3.20095,,,,-1.55351,,2.15965,5971.0,,-1.69994,,,,-2.11215,0.89988,2488.0,,-2.49928,,A,0
2025-12-14 14:58:29.569000+00:00,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,4755.0,,,,,,,,774.0,,,,A,0
2025-12-14 14:58:29.571000+00:00,-2.12717,,,,,,,,,,,,,0.0,,-1.9703,,0.0,,,0.0,,,,-1.53063,,1.71984,,,-1.50101,,,0.0,-2.12717,0.27995,,,-2.0978,,A,0
2025-12-14 14:58:29.869000+00:00,-2.4279,,,,,,,,,,,,,,1.0,-0.24629,,,,,,,,,-2.3782,,1.23987,3428.0,,-1.50101,0.0,,,-2.4279,0.0,0.0,,0.0,,A,0
2025-12-14 14:58:30.169000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,2211.0,,,,,,,,,,,,A,0
2025-12-14 14:58:30.172000+00:00,-0.60697,,,,,,,,,,,,,,,-0.06157,,,,,,,,,-1.72031,,0.7997,,,-1.39974,,1.0,,-0.60697,,,,,,A,0
2025-12-14 14:58:30.471000+00:00,-0.07587,,,,,,,,,,,,,,,-0.0077,,,,,,,,,-1.66406,,0.32986,1299.0,,-1.50101,,,,-0.07587,,,,,,A,0
2025-12-14 14:58:30.769000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,A,0
2025-12-14 14:58:30.773000+00:00,-0.00948,,,,,,,,,,,,,,,-0.00096,,,,,,0.0,,,-1.49608,,0.02966,,,,,,,-0.00948,,,,,,A,0
2025-12-14 14:58:31.069000+00:00,-0.00237,,,,,,,,,,,,,,,-0.00024,,,,,,,0.0,,-0.89756,,0.0,0.0,,0.0,,,,-0.00237,,,,,,A,0
2025-12-14 14:58:31.370000+00:00,-0.0003,,,,,,,,,,,,,1000.0,0.0,-3e-05,1.0,0.10995,304.0,8.0,1.09954,,1000.0,,-0.1122,1.0,0.03979,110.0,9.0,0.39786,1000.0,0.0,,-0.0003,0.02966,82.0,10.0,0.29659,1.0,A,0
2025-12-14 14:58:31.671000+00:00,1.66283,,,,,,,,,,,,,,,2.28768,,0.95992,2654.0,,2.70182,,,,1.23471,,0.51975,1437.0,,1.4974,,,,1.66283,0.68974,1907.0,,2.00014,,A,0
2025-12-14 14:58:31.968000+00:00,,,,,,,,,,,,,,,,,,,5004.0,,,,,,,,,2737.0,,,,,,,,3704.0,,,,A,0
2025-12-14 14:58:31.971000+00:00,1.94023,,,,,,,,,,,,,,,2.57116,,1.8099,,,,,,,1.43444,,0.98994,,,1.50101,,,,1.94023,1.3397,,,2.10142,,A,0
2025-12-14 14:58:32.269000+00:00,,,,,,,,,,,,,,,,,,,7077.0,,,,,,,,,3898.0,,,,,,,,5308.0,,,,A,0
2025-12-14 14:58:32.272000+00:00,2.52976,,,,,,,,,,,,,,,3.28409,,2.55968,,,2.69821,,,,1.84172,,1.40987,,,,,,,2.52976,1.91985,,,,,A,0
2025-12-14 14:58:32.568000+00:00,,,,,,,,,,,,,,,,,,,9427.0,,,,,,,,,5197.0,,,,,,,,7133.0,,,,A,0
2025-12-14 14:58:32.571000+00:00,2.40743,,,,,,,,,,,,,,,3.09605,,3.40965,,,2.60055,,,,1.68565,,1.8797,,,,,,,2.40743,2.57993,,,2.00014,,A,0
2025-12-14 14:58:32.870000+00:00,2.07637,,,,,,,,,,,,,,,2.73754,,4.25998,11778.0,,,,,,1.52319,,2.3499,6497.0,,1.50101,,,,2.07637,3.22989,8930.0,,2.0978,,A,0
2025-12-14 14:58:33.168000+00:00,,,,,,,,,,,,,,,,,,,13989.0,,,,,,,,,7741.0,,,,,,,,10644.0,,,,A,0
2025-12-14 14:58:33.170000+00:00,2.17108,,,,,,,,,,,,,,,2.8166,,5.05968,,,5.29875,,,,1.55352,,2.79984,,,2.99841,,,,2.17108,3.84983,,,4.10156,,A,0
2025-12-14 14:58:33.470000+00:00,2.61887,,,,,,,,,,,,,,,3.32911,,5.85974,16201.0,,2.70182,,,,1.83785,,3.23966,8957.0,,1.50101,,,,2.61887,4.46976,12358.0,,2.00015,,A,0
2025-12-14 14:58:33.769000+00:00,,,,,,,,,,,,,,,,,,,17805.0,,,,,,,,,9870.0,,,,,,,,13602.0,,,,A,0
2025-12-14 14:58:33.772000+00:00,2.30264,,,,,,,,,,,,,,,3.0289,,6.43989,,,2.60055,,,,1.69231,,3.56988,,,,,,,2.30264,4.9197,,,2.0978,,A,0
2025-12-14 14:58:34.068000+00:00,,,,,,,,,,,,,,,,,,,20017.0,,,,,,,,,11086.0,,,,,,,,15289.0,,,,A,0
2025-12-14 14:58:34.072000+00:00,2.1008,,,,,,,,,,,,,,,2.67851,,7.23994,,,2.70182,,,,1.49961,,4.00969,,,1.4974,,,,2.1008,5.52988,,,2.00014,,A,0
2025-12-14 14:58:34.369000+00:00,,,,,,,,,,,,,,,,,,,22367.0,,,,,,,,,12386.0,,,,,,,,17114.0,,,,A,0
2025-12-14 14:58:34.373000+00:00,2.07414,,,,,,,,,,,,,,,2.64536,0.0,8.08992,,,5.89916,,,,1.49976,,4.47989,,,3.20096,,,,2.07414,6.18996,,,4.50304,,A,0
2025-12-14 14:58:34.669000+00:00,,,,,,,,,,,,,,,,,,,22809.0,,,,,,,,,13630.0,,,,,,,,18828.0,,,,A,0
2025-12-14 14:58:34.671000+00:00,2.34667,,,,,,,,,,,,,,,1.46773,,8.24978,,,0.0,,,,1.71154,,4.92983,,,1.50101,,,,2.34667,6.8099,,,2.10142,,A,0
2025-12-14 14:58:34.968000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,14929.0,,,,,,,,20625.0,,,,A,0
2025-12-14 14:58:34.970000+00:00,2.10495,,,,,,,,,,,,,,1.0,0.18347,,,,,,,,,1.50201,,5.39967,,,,,,,2.10495,7.45985,,,2.0978,,A,0
2025-12-14 14:58:35.269000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,16146.0,,,,,,,,22339.0,,,,A,0
2025-12-14 14:58:35.271000+00:00,2.17735,,,,,,,,,,,,,,,0.04587,,,,,,,,,1.57541,,5.83984,,,1.39974,,,,2.17735,8.07979,,,,,A,0
2025-12-14 14:58:35.569000+00:00,3.08521,,,,,,,,,,,,,,,0.00573,,,,,,,,,2.24635,,6.28979,17390.0,,1.50101,,,,3.08521,8.69973,24053.0,,2.09781,,A,0
2025-12-14 14:58:35.871000+00:00,2.49656,,,,,,,,,,,,,,,0.00143,,,,,,,,,1.78681,,6.75998,18690.0,,,,,,2.49656,9.34968,25850.0,,2.0978,,A,0
2025-12-14 14:58:36.169000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,19906.0,,,,,,,,27565.0,,,,A,0
2025-12-14 14:58:36.172000+00:00,2.12504,,,,,,,,,,,,,,,0.00018,,,,,,,,,1.53493,,7.1998,,,1.39974,,,,2.12504,9.96998,,,2.10142,0.0,A,0
2025-12-14 14:58:36.468000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,21206.0,,,,,,,,27648.0,,,,A,0
2025-12-14 14:58:36.472000+00:00,1.17845,,,,,,,,,,,,,,,2e-05,,,,,,,,,1.6427,,7.66999,,,1.49739,0.0,,,1.17845,10.0,,,0.0,,A,0
2025-12-14 14:58:36.769000+00:00,0.29461,,,,,,,,,,,,,,,1e-05,,,,,,,,,2.2354,,8.11994,22450.0,,1.50101,,1.0,,0.29461,,,,,,A,0
2025-12-14 14:58:37.068000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,23334.0,,,,,,,,,,,,A,0
2025-12-14 14:58:37.070000+00:00,0.03683,,,,,,,,,,,,,,,0.0,,,,,,,,,1.59101,,8.43967,,,1.69993,,,,0.03683,,,,,,A,0
2025-12-14 14:58:37.370000+00:00,0.0046,,,,,,,,,,,,,,,0.0,,,,,,,,,1.53713,0.0,8.88997,24579.0,,1.50101,,,,0.0046,,,,,,A,0
2025-12-14 14:58:37.670000+00:00,0.00115,,,,,,,,,,,,,,,0.0,,,,,,,,,1.05793,,8.94965,24744.0,,0.0,,,,0.00115,,,,,,A,0
2025-12-14 14:58:37.969000+00:00,0.00014,,,,,,,,,,,,1.0,,0.0,0.0,,8.08992,22367.0,5.0,-1.59866,1.0,,,0.13224,,8.85995,24496.0,5.0,-0.89699,1000.0,0.0,1.0,0.00014,9.93996,27482.0,5.0,-0.6004,,A,0
2025-12-14 14:58:38.270000+00:00,-1.85003,,,,,,,,,,,,,,,-2.47396,,7.23994,20017.0,,-2.60055,,,,-1.37145,,8.37999,23169.0,,-1.49739,,,,-1.85003,9.26975,25629.0,,-2.10142,,A,0
2025-12-14 14:58:38.568000+00:00,,,,,,,,,,,,,,,,,,,17805.0,,,,,,,,,21952.0,,,,,,,,23943.0,,,,A,0
2025-12-14 14:58:38.570000+00:00,-1.98793,,,,,,,,,,,,,,,-2.61954,,6.43989,,,,,,,-1.41889,,7.93981,,,,,,,-1.98793,8.65994,,,-2.0978,,A,0
2025-12-14 14:58:38.871000+00:00,-2.06146,,,,,,,,,,,,,,,-2.67797,,5.58992,15455.0,,-5.79789,,,,-1.4903,,7.46998,20653.0,,-3.19734,,,,-2.06146,7.99986,22118.0,,-4.49943,,A,0
2025-12-14 14:58:39.169000+00:00,,,,,,,,,,,,,,,,,,,13243.0,,,,,,,,,19408.0,,,,,,,,20404.0,,,,A,0
2025-12-14 14:58:39.171000+00:00,-2.34554,,,,,,,,,,,,0.0,,,-3.03521,,4.78986,,,-2.60055,,,,-1.71172,,7.01968,,,-1.50102,,,,-2.34554,7.37992,,,-2.00015,,A,0
2025-12-14 14:58:39.468000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,18192.0,,,,,,,,18717.0,,,,A,0
2025-12-14 14:58:39.471000+00:00,-2.11091,,,,,,,,,,,,,,,-1.9343,,,,,0.0,,,,-1.50305,,6.57986,,,-1.49739,,,,-2.11091,6.76975,,,-2.10142,,A,0
2025-12-14 14:58:39.768000+00:00,,,,,,,,,,,,,,,,,,,14432.0,,,,,,,,,16892.0,,,,,,,,16892.0,,,,A,0
2025-12-14 14:58:39.771000+00:00,-2.07548,,,,,,,,,,,,,,,1.35778,,5.21991,,,1.60229,,,,-1.50082,,6.10966,,,-1.69994,,,,-2.07548,6.10966,,,-2.50289,,A,0
2025-12-14 14:58:40.068000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,15648.0,,,,,,,,15178.0,,,,A,0
2025-12-14 14:58:40.071000+00:00,-3.12131,,,,,,,,,,,,,,1.0,0.37001,,,,,0.0,,,,-2.27455,,5.65972,,,-2.99841,,,,-3.12131,5.48973,,,-4.09795,,A,0
